
2024/09/07 (14:41:29) | ===> btop++ v.1.3.2
2024/09/07 (14:41:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/09 (04:48:35) | ===> btop++ v.1.3.2
2024/09/09 (04:48:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/09 (10:12:39) | ===> btop++ v.1.3.2
2024/09/09 (10:12:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/09 (13:57:24) | ===> btop++ v.1.3.2
2024/09/09 (13:57:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/11 (02:28:31) | ===> btop++ v.1.3.2
2024/09/11 (02:28:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/11 (02:38:43) | ===> btop++ v.1.3.2
2024/09/11 (02:38:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/11 (02:53:22) | ===> btop++ v.1.3.2
2024/09/11 (02:53:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/11 (10:23:13) | ===> btop++ v.1.3.2
2024/09/11 (10:23:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/11 (16:53:20) | ===> btop++ v.1.3.2
2024/09/11 (16:53:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/12 (21:54:11) | ===> btop++ v.1.3.2
2024/09/12 (21:54:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/12 (22:16:26) | ===> btop++ v.1.3.2
2024/09/12 (22:16:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/14 (04:36:25) | ===> btop++ v.1.3.2
2024/09/14 (04:36:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/15 (16:36:50) | ===> btop++ v.1.3.2
2024/09/15 (16:36:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/15 (16:38:14) | ===> btop++ v.1.3.2
2024/09/15 (16:38:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/15 (22:28:43) | ===> btop++ v.1.3.2
2024/09/15 (22:28:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/15 (22:41:51) | ===> btop++ v.1.3.2
2024/09/15 (22:41:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/16 (02:11:53) | ===> btop++ v.1.3.2
2024/09/16 (02:11:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/18 (03:24:56) | ===> btop++ v.1.3.2
2024/09/18 (03:24:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/20 (16:11:54) | ===> btop++ v.1.3.2
2024/09/20 (16:11:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/05 (20:20:08) | ===> btop++ v.1.4.0
2024/10/05 (20:20:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/05 (20:20:08) | WARNING: Intel GPU: Failed to initialize PMU
2024/10/05 (20:22:31) | ERROR: Stall in Runner thread, restarting!
2024/10/05 (20:24:05) | ERROR: Stall in Runner thread, restarting!
2024/10/05 (20:24:43) | ERROR: Stall in Runner thread, restarting!
2024/10/05 (20:27:04) | WARNING: Failed to join _runner thread on exit!

2024/10/05 (20:27:18) | ===> btop++ v.1.4.0
2024/10/05 (20:27:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/05 (20:27:18) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/07 (00:06:35) | ===> btop++ v.1.4.0
2024/10/07 (00:06:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/07 (00:06:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/07 (00:10:03) | ===> btop++ v.1.4.0
2024/10/07 (00:10:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/07 (00:10:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/11 (03:50:57) | ===> btop++ v.1.4.0
2024/10/11 (03:50:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/11 (03:50:57) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/12 (02:53:41) | ===> btop++ v.1.4.0
2024/10/12 (02:53:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/12 (02:53:41) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (21:41:51) | ===> btop++ v.1.4.0
2024/10/14 (21:41:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/14 (21:41:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/15 (03:53:31) | ===> btop++ v.1.4.0
2024/10/15 (03:53:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/15 (03:53:31) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/17 (04:07:14) | ===> btop++ v.1.4.0
2024/10/17 (04:07:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/17 (04:07:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (01:36:42) | ===> btop++ v.1.4.0
2024/10/19 (01:36:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/19 (01:36:42) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (01:46:48) | ===> btop++ v.1.4.0
2024/10/19 (01:46:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/19 (01:46:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (01:47:01) | ===> btop++ v.1.4.0
2024/10/19 (01:47:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/19 (01:47:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (21:36:51) | ===> btop++ v.1.4.0
2024/10/19 (21:36:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/19 (21:36:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/23 (00:55:27) | ===> btop++ v.1.4.0
2024/10/23 (00:55:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/23 (00:55:27) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/23 (00:55:50) | ===> btop++ v.1.4.0
2024/10/23 (00:55:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/23 (00:55:50) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/01 (02:06:12) | ===> btop++ v.1.4.0
2024/11/01 (02:06:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/01 (02:06:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/01 (03:17:06) | ===> btop++ v.1.4.0
2024/11/01 (03:17:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/01 (03:17:06) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/01 (18:05:54) | ===> btop++ v.1.4.0
2024/11/01 (18:05:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/01 (18:05:54) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/02 (01:58:22) | ===> btop++ v.1.4.0
2024/11/02 (01:58:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/02 (01:58:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/02 (02:39:13) | ===> btop++ v.1.4.0
2024/11/02 (02:39:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/02 (02:39:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/02 (03:06:03) | ===> btop++ v.1.4.0
2024/11/02 (03:06:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/02 (03:06:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/02 (03:22:50) | ===> btop++ v.1.4.0
2024/11/02 (03:22:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/02 (03:22:50) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/02 (03:33:56) | ===> btop++ v.1.4.0
2024/11/02 (03:33:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/02 (03:33:56) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/02 (03:41:40) | ===> btop++ v.1.4.0
2024/11/02 (03:41:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/02 (03:41:40) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/02 (04:18:17) | ===> btop++ v.1.4.0
2024/11/02 (04:18:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/02 (04:18:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/02 (23:35:04) | ===> btop++ v.1.4.0
2024/11/02 (23:35:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/02 (23:35:04) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/02 (23:42:15) | ===> btop++ v.1.4.0
2024/11/02 (23:42:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/02 (23:42:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/02 (23:53:18) | ===> btop++ v.1.4.0
2024/11/02 (23:53:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/02 (23:53:18) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/03 (00:11:10) | ===> btop++ v.1.4.0
2024/11/03 (00:11:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/03 (00:11:10) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/09 (03:28:49) | ===> btop++ v.1.4.0
2024/11/09 (03:28:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/09 (03:28:49) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/10 (04:47:19) | ===> btop++ v.1.4.0
2024/11/10 (04:47:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/10 (04:47:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/10 (23:52:15) | ===> btop++ v.1.4.0
2024/11/10 (23:52:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/10 (23:52:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/11 (00:42:06) | ===> btop++ v.1.4.0
2024/11/11 (00:42:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/11 (00:42:06) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/11 (01:38:04) | ===> btop++ v.1.4.0
2024/11/11 (01:38:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/11 (01:38:04) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/11 (02:20:26) | ===> btop++ v.1.4.0
2024/11/11 (02:20:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/11 (02:20:27) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/11 (02:26:14) | ===> btop++ v.1.4.0
2024/11/11 (02:26:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/11 (02:26:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/11 (02:55:47) | ===> btop++ v.1.4.0
2024/11/11 (02:55:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/11 (02:55:47) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/11 (03:07:48) | ===> btop++ v.1.4.0
2024/11/11 (03:07:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/11 (03:07:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/11 (03:13:17) | ===> btop++ v.1.4.0
2024/11/11 (03:13:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/11 (03:13:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/11 (03:16:26) | ===> btop++ v.1.4.0
2024/11/11 (03:16:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/11 (03:16:26) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/11 (03:21:20) | ===> btop++ v.1.4.0
2024/11/11 (03:21:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/11 (03:21:20) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/11 (03:28:46) | ===> btop++ v.1.4.0
2024/11/11 (03:28:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/11 (03:28:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/11 (03:29:14) | ===> btop++ v.1.4.0
2024/11/11 (03:29:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/11 (03:29:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/11 (03:46:47) | ===> btop++ v.1.4.0
2024/11/11 (03:46:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/11 (03:46:47) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/11 (03:54:26) | ===> btop++ v.1.4.0
2024/11/11 (03:54:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/11 (03:54:26) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/11 (19:36:25) | ===> btop++ v.1.4.0
2024/11/11 (19:36:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
